pipeline,n,pwa,total_penalty,n_pred_drift,n_false_drift,n_false_drift_good,n_missed_drift,n_class_error,penalty_false_drift,penalty_missed_drift,penalty_class_error,threshold
nôtre,1655,0.7981268882175226,3341000.0,1118,1118,247,0,0,3341000.0,0.0,0.0,0.08
nôtre,1655,0.8169184290030211,3030000.0,807,807,247,0,0,3030000.0,0.0,0.0,0.1
nôtre,1655,0.8270694864048338,2862000.0,639,639,247,0,0,2862000.0,0.0,0.0,0.12
nôtre,1655,0.8310574018126888,2796000.0,573,573,247,0,0,2796000.0,0.0,0.0,0.14
nôtre,1655,0.8345619335347432,2738000.0,533,533,245,0,0,2738000.0,0.0,0.0,0.16
nôtre,1655,0.8409667673716013,2632000.0,499,499,237,0,0,2632000.0,0.0,0.0,0.18
nôtre,1655,0.8522658610271903,2445000.0,456,456,221,0,0,2445000.0,0.0,0.0,0.2
nôtre,1655,0.8670694864048338,2200000.0,409,409,199,0,0,2200000.0,0.0,0.0,0.22
nôtre,1655,0.8885800604229608,1844000.0,350,350,166,0,0,1844000.0,0.0,0.0,0.24
nôtre,1655,0.9100302114803626,1489000.0,301,301,132,0,0,1489000.0,0.0,0.0,0.26
nôtre,1655,0.9247129909365559,1246000.0,264,264,108,0,1,1236000.0,0.0,10000.0,0.28
nôtre,1655,0.9345015105740181,1084000.0,237,237,93,0,1,1074000.0,0.0,10000.0,0.3
nôtre,1655,0.9467673716012085,881000.0,204,204,73,0,2,861000.0,0.0,20000.0,0.32
nôtre,1655,0.9545619335347432,752000.0,174,174,62,0,2,732000.0,0.0,20000.0,0.34
nôtre,1655,0.9633232628398791,607000.0,146,146,49,0,2,587000.0,0.0,20000.0,0.36
nôtre,1655,0.9684591540785499,522001.0,124,124,42,0,3,502000.0,0.0,20001.0,0.38
nôtre,1655,0.9727491842900302,451001.0,107,107,36,0,3,431000.0,0.0,20001.0,0.4
nôtre,1655,0.9769787915407855,381001.0,90,90,29,0,4,351000.0,0.0,30001.0,0.42
nôtre,1655,0.983438006042296,274101.0,73,73,19,0,5,244000.0,0.0,30101.0,0.44
nôtre,1655,0.9862174622356495,228101.0,63,63,15,0,5,198000.0,0.0,30101.0,0.46
nôtre,1655,0.9902053776435046,162101.0,51,51,9,0,5,132000.0,0.0,30101.0,0.48
nôtre,1655,0.9943141389728096,94101.0,37,37,3,0,5,64000.0,0.0,30101.0,0.5
nôtre,1655,0.9951600604229607,80101.0,32,32,2,0,5,50000.0,0.0,30101.0,0.52
nôtre,1655,0.9955225981873111,74101.0,26,26,2,0,5,44000.0,0.0,30101.0,0.54
nôtre,1655,0.9963080966767371,61101.0,22,22,1,0,5,31000.0,0.0,30101.0,0.56
nôtre,1655,0.996912326283988,51101.0,21,21,0,0,5,21000.0,0.0,30101.0,0.58
nôtre,1655,0.996972749244713,50101.0,20,20,0,0,5,20000.0,0.0,30101.0,0.6
nôtre,1655,0.9972748036253777,45102.0,15,15,0,0,6,15000.0,0.0,30102.0,0.62
nôtre,1655,0.9973956495468278,43102.0,13,13,0,0,6,13000.0,0.0,30102.0,0.64
nôtre,1655,0.9974560725075529,42102.0,12,12,0,0,6,12000.0,0.0,30102.0,0.66
nôtre,1655,0.9975164954682779,41102.0,11,11,0,0,6,11000.0,0.0,30102.0,0.68
nôtre,1655,0.997576918429003,40102.0,10,10,0,0,6,10000.0,0.0,30102.0,0.7000000000000001
nôtre,1655,0.9976373413897281,39102.0,9,9,0,0,6,9000.0,0.0,30102.0,0.72
nôtre,1655,0.9976373413897281,39102.0,9,9,0,0,6,9000.0,0.0,30102.0,0.74
nôtre,1655,0.9977581873111783,37102.0,7,7,0,0,6,7000.0,0.0,30102.0,0.76
nôtre,1655,0.9977581873111783,37102.0,7,7,0,0,6,7000.0,0.0,30102.0,0.78
